Categorii de terenuri si specii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii hectare, Valoare
Total, TOTAL, Anul 1990, Mii hectare, 6371
Total, TOTAL, Anul 1991, Mii hectare, 6367.6
Total, TOTAL, Anul 1992, Mii hectare, 6368.2
Total, TOTAL, Anul 1993, Mii hectare, 6366.9
Total, TOTAL, Anul 1994, Mii hectare, 6369
Total, TOTAL, Anul 1995, Mii hectare, 6368.8
Total, TOTAL, Anul 1996, Mii hectare, 6365.7
Total, TOTAL, Anul 1997, Mii hectare, 6367.3
Total, TOTAL, Anul 1998, Mii hectare, 6367.1
Total, TOTAL, Anul 1999, Mii hectare, 6367.3
Total, TOTAL, Anul 2000, Mii hectare, 6366.5
Total, TOTAL, Anul 2001, Mii hectare, 6366.8
Total, TOTAL, Anul 2002, Mii hectare, 6387.8
Total, TOTAL, Anul 2003, Mii hectare, 6368.5
Total, TOTAL, Anul 2004, Mii hectare, 6382.2
Total, TOTAL, Anul 2005, Mii hectare, 6390.6
Total, TOTAL, Anul 2006, Mii hectare, 6427.7
Total, TOTAL, Anul 2007, Mii hectare, 6484.6
Total, TOTAL, Anul 2008, Mii hectare, 6469.9
Total, TOTAL, Anul 2009, Mii hectare, 6494.7
Total, TOTAL, Anul 2010, Mii hectare, 6515.1
Total, TOTAL, Anul 2011, Mii hectare, 6521.8
Total, TOTAL, Anul 2012, Mii hectare, 6529.1
Total, TOTAL, Anul 2013, Mii hectare, 6538.5
Total, TOTAL, Anul 2014, Mii hectare, 6544.6
Total, TOTAL, Anul 2015, Mii hectare, 6555.1
Total, TOTAL, Anul 2016, Mii hectare, 6559
Total, TOTAL, Anul 2017, Mii hectare, 6564.9
Total, TOTAL, Anul 2018, Mii hectare, 6583.1
Total, TOTAL, Anul 2019, Mii hectare, 6592.2
Total, MACROREGIUNEA UNU, Anul 1990, Mii hectare, 2148.6
Total, MACROREGIUNEA UNU, Anul 1991, Mii hectare, 2149.2
Total, MACROREGIUNEA UNU, Anul 1992, Mii hectare, 2150.2
