Category,Region,Year,Unit,Value
Total,TOTAL,1990, Thousands hectares,6371.0
Total,TOTAL,1991, Thousands hectares,6367.6
Total,TOTAL,1992, Thousands hectares,6368.2
Total,TOTAL,1993, Thousands hectares,6366.9
Total,TOTAL,1994, Thousands hectares,6369.0
Total,TOTAL,1995, Thousands hectares,6368.8
Total,TOTAL,1996, Thousands hectares,6365.7
Total,TOTAL,1997, Thousands hectares,6367.3
Total,TOTAL,1998, Thousands hectares,6367.1
Total,TOTAL,1999, Thousands hectares,6367.3
Total,TOTAL,2000, Thousands hectares,6366.5
Total,TOTAL,2001, Thousands hectares,6366.8
Total,TOTAL,2002, Thousands hectares,6387.8
Total,TOTAL,2003, Thousands hectares,6368.5
Total,TOTAL,2004, Thousands hectares,6382.2
Total,TOTAL,2005, Thousands hectares,6390.6
Total,TOTAL,2006, Thousands hectares,6427.7
Total,TOTAL,2007, Thousands hectares,6484.6
Total,TOTAL,2008, Thousands hectares,6469.9
Total,TOTAL,2009, Thousands hectares,6494.7
Total,TOTAL,2010, Thousands hectares,6515.1
Total,TOTAL,2011, Thousands hectares,6521.8
Total,TOTAL,2012, Thousands hectares,6529.1
Total,TOTAL,2013, Thousands hectares,6538.5
Total,TOTAL,2014, Thousands hectares,6544.6
Total,TOTAL,2015, Thousands hectares,6555.1
Total,TOTAL,2016, Thousands hectares,6559.0
Total,TOTAL,2017, Thousands hectares,6564.9
Total,TOTAL,2018, Thousands hectares,6583.1
Total,TOTAL,2019, Thousands hectares,6592.2
Total,MACROREGIUNEA UNU,1990, Thousands hectares,2148.6
Total,MACROREGIUNEA UNU,1991, Thousands hectares,2149.2
Total,MACROREGIUNEA UNU,1992, Thousands hectares,2150.2
Total,MACROREGIUNEA UNU,1993, Thousands hectares,2145.3
Total,MACROREGIUNEA UNU,1994, Thousands hectares,2149.3
Total,MACROREGIUNEA UNU,1995, Thousands hectares,2148.8
Total,MACROREGIUNEA UNU,1996, Thousands hectares,2147.8
Total,MACROREGIUNEA UNU,1997, Thousands hectares,2149.0
Total,MACROREGIUNEA UNU,1998, Thousands hectares,2148.9
Total,MACROREGIUNEA UNU,1999, Thousands hectares,2149.1
Total,MACROREGIUNEA UNU,2000, Thousands hectares,2149.5
Total,MACROREGIUNEA UNU,2001, Thousands hectares,2149.4
Total,MACROREGIUNEA UNU,2002, Thousands hectares,2158.3
Total,MACROREGIUNEA UNU,2003, Thousands hectares,2150.5
Total,MACROREGIUNEA UNU,2004, Thousands hectares,2150.9
Total,MACROREGIUNEA UNU,2005, Thousands hectares,2158.6
Total,MACROREGIUNEA UNU,2006, Thousands hectares,2190.7
Total,MACROREGIUNEA UNU,2007, Thousands hectares,2232.2
Total,MACROREGIUNEA UNU,2008, Thousands hectares,2229.6
Total,MACROREGIUNEA UNU,2009, Thousands hectares,2236.6
Total,MACROREGIUNEA UNU,2010, Thousands hectares,2242.2
Total,MACROREGIUNEA UNU,2011, Thousands hectares,2248.1
Total,MACROREGIUNEA UNU,2012, Thousands hectares,2249.6
Total,MACROREGIUNEA UNU,2013, Thousands hectares,2254.6
Total,MACROREGIUNEA UNU,2014, Thousands hectares,2256.1
Total,MACROREGIUNEA UNU,2015, Thousands hectares,2256.0
Total,MACROREGIUNEA UNU,2016, Thousands hectares,2257.6
Total,MACROREGIUNEA UNU,2017, Thousands hectares,2259.7
Total,MACROREGIUNEA UNU,2018, Thousands hectares,2269.5
Total,MACROREGIUNEA UNU,2019, Thousands hectares,2272.1
Total,Regiunea NORD-VEST,1990, Thousands hectares,963.5
Total,Regiunea NORD-VEST,1991, Thousands hectares,964.0
Total,Regiunea NORD-VEST,1992, Thousands hectares,964.6
