id	yW8nIA33-zY
published	2020-09-30 04:29:16
published_unix	1601440156
title	Full Presidential Debate: President Trump and Joe Biden | WSJ
description	Watch the first 2020 presidential debate between President Trump and Democratic nominee Joe Biden in Cleveland. More from the Wall Street Journal: Visit WSJ.com: http://www.wsj.com Visit the WSJ Video Center: https://wsj.com/video On Facebook: https://www.facebook.com/pg/wsj/videos/ On Twitter: https://twitter.com/WSJ On Snapchat: https://on.wsj.com/2ratjSM #WSJ #Biden #Trump
channelId	UCK7tptUDHh-RYDsdxO1-5QQ
channelTitle	Wall Street Journal
duration	PT1H36M51S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	2243760
likeCount	26436
dislikeCount	2636
favoriteCount	0
commentCount	23782
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
