Year,Month,Earnings
1991,January,4769
1992,January,16241
1993,January,35241
1994,January,131763
1995,January,221542
1996,January,332480
1997,January,531226
1998,January,1102461
1999,January,1569563
2000,January,2263212
2001,January,3621665
2002,January,5144789
2003,January,6520266
2004,January,8006308
2005,January,951
2006,January,1100
2007,January,1232
2008,January,1637
2009,January,1839
2010,January,1967
2011,January,1963
2012,January,2022
2013,January,2138
2014,January,2250
2015,January,2408
2016,January,2688
2017,January,3168
2018,January,4143
2019,January,4837
2020,January,5225
1991,February,4686
1992,February,15897
1993,February,36993
1994,February,135944
1995,February,225337
1996,February,322808
1997,February,596267
1998,February,1087824
1999,February,1583518
2000,February,2276621
2001,February,3411998
2002,February,4778519
2003,February,6054129
2004,February,7483952
2005,February,875
2006,February,1017
2007,February,1264
2008,February,1543
2009,February,1863
2010,February,1940
2011,February,1944
2012,February,2028
2013,February,2144
2014,February,2247
2015,February,2395
2016,February,2693
2017,February,3108
2018,February,4128
2019,February,4819
2020,February,5243
1991,March,5286
1992,March,19373
1993,March,47139
1994,March,144802
1995,March,237595
1996,March,341708
1997,March,668518
1998,March,1197075
1999,March,1768944
2000,March,2488562
2001,March,3717275
2002,March,5091065
2003,March,6338861
2004,March,8065813
2005,March,920
2006,March,1101
2007,March,1364
2008,March,1623
2009,March,1922
2010,March,2074
2011,March,2056
2012,March,2126
2013,March,2231
2014,March,2356
2015,March,2529
2016,March,2829
2017,March,3256
2018,March,4488
2019,March,5050
2020,March,5386
1991,April,7605
1992,April,19704
1993,April,48749
1994,April,163283
1995,April,261530
1996,April,397781
1997,April,795296
1998,April,1334427
1999,April,1864722
2000,April,2838364
2001,April,4321748
2002,April,5585360
2003,April,6885534
2004,April,8292765
2005,April,973
2006,April,1120
2007,April,1387
2008,April,1751
2009,April,1930
2010,April,1973
2011,April,2066
2012,April,2140
2013,April,2291
2014,April,2395
2015,April,2564
2016,April,2879
2017,April,3291
2018,April,4512
2019,April,5105
2020,April,5201
1991,May,9331
1992,May,22258
1993,May,65136
1994,May,162842
1995,May,260567
1996,May,384590
1997,May,754570
1998,May,1263956
1999,May,1835505
2000,May,2676061
2001,May,4174679
2002,May,5329069
2003,May,6521441
2004,May,8008210
2005,May,942
2006,May,1109
2007,May,1361
2008,May,1704
2009,May,1855
2010,May,1962
2011,May,2008
2012,May,2109
2013,May,2226
2014,May,2328
2015,May,2500
2016,May,2853
2017,May,3288
2018,May,4494
2019,May,5078
2020,May,5188
1991,June,9739
1992,June,24462
1993,June,75493
1994,June,169322
1995,June,268096
1996,June,386425
1997,June,774559
1998,June,1322476
1999,June,1910834
2000,June,2789047
2001,June,4280633
2002,June,5327130
2003,June,6476157
2004,June,8035915
2005,June,944
2006,June,1112
2007,June,1377
2008,June,1738
2009,June,1887
2010,June,1951
2011,June,2026
2012,June,2140
2013,June,2219
2014,June,2334
2015,June,2516
2016,June,2874
2017,June,3313
2018,June,4527
2019,June,5127
2020,June,5369
1991,July,10247
1992,July,25223
